date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-03-20,283,32,64,187,69.1,2025-03-19 04:40:00,2025-03-20 00:55:00,66.4,146,7,75,14,81,18.2,0.78
2025-03-21,280,31,63,186,68.8,2025-03-20 04:45:00,2025-03-21 00:50:00,66.1,148,8,75,14,81,18.3,0.80
2025-03-22,278,31,63,184,68.6,2025-03-21 04:50:00,2025-03-22 00:45:00,65.9,149,8,75,13,81,18.3,0.81
2025-03-23,275,30,62,183,68.3,2025-03-22 04:55:00,2025-03-23 00:40:00,65.6,150,8,76,13,82,18.4,0.82
2025-03-24,273,29,61,183,68.0,2025-03-23 05:00:00,2025-03-24 00:35:00,65.3,152,8,76,12,82,18.4,0.83
2025-03-25,270,28,61,181,67.7,2025-03-24 05:05:00,2025-03-25 00:30:00,65.0,153,8,76,12,82,18.5,0.85
2025-03-26,268,28,60,180,67.5,2025-03-25 05:10:00,2025-03-26 00:25:00,64.8,154,8,77,11,83,18.5,0.86
2025-03-27,265,27,59,179,67.2,2025-03-26 05:15:00,2025-03-27 00:20:00,64.5,156,8,77,11,83,18.6,0.87
2025-03-28,263,26,59,178,66.9,2025-03-27 05:20:00,2025-03-28 00:15:00,64.2,157,8,77,10,83,18.6,0.88
2025-03-29,260,25,58,177,66.6,2025-03-28 05:25:00,2025-03-29 00:10:00,63.9,159,9,78,10,84,18.7,0.90
2025-03-30,258,25,57,176,66.4,2025-03-29 05:30:00,2025-03-30 00:05:00,63.7,160,9,78,9,84,18.7,0.91
2025-03-31,255,24,57,174,66.1,2025-03-30 05:35:00,2025-03-31 00:00:00,63.4,161,9,78,9,84,18.8,0.92
2025-04-01,253,23,56,174,65.8,2025-03-31 05:40:00,2025-04-01 23:55:00,63.1,163,9,79,8,85,18.8,0.93
2025-04-02,250,22,55,173,65.5,2025-04-01 05:45:00,2025-04-02 23:50:00,62.8,164,9,79,8,85,18.9,0.95
2025-04-03,248,22,55,171,65.3,2025-04-02 05:50:00,2025-04-03 23:45:00,62.6,166,9,79,7,85,18.9,0.96
2025-04-04,245,21,54,170,65.0,2025-04-03 05:55:00,2025-04-04 23:40:00,62.3,167,9,80,7,86,19.0,0.97
2025-04-05,243,20,54,169,64.7,2025-04-04 06:00:00,2025-04-05 23:35:00,62.0,169,10,80,6,86,19.0,0.98
2025-04-06,240,19,53,168,64.4,2025-04-05 06:05:00,2025-04-06 23:30:00,61.7,170,10,80,6,86,19.1,1.00
2025-04-07,238,19,52,167,64.2,2025-04-06 06:10:00,2025-04-07 23:25:00,61.5,172,10,81,5,87,19.1,1.01
2025-04-08,235,18,52,165,63.9,2025-04-07 06:15:00,2025-04-08 23:20:00,61.2,173,10,81,5,87,19.2,1.02
