date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-01-28,436,87,107,242,89.3,2025-01-27 22:41:00,2025-01-28 07:08:00,89.0,52,2,50,50,54,14.5,-0.02
2025-01-29,467,94,114,259,91.3,2025-01-28 22:38:00,2025-01-29 07:29:00,91.4,45,1,47,54,51,14.3,-0.15
2025-01-30,453,92,108,253,90.6,2025-01-29 22:42:00,2025-01-30 07:22:00,90.5,47,1,49,53,53,14.4,-0.08
2025-01-31,462,94,109,259,91.0,2025-01-30 22:45:00,2025-01-31 07:26:00,90.8,46,1,48,53,52,14.4,-0.11
2025-02-01,476,96,117,263,91.6,2025-01-31 23:39:00,2025-02-01 08:09:00,92.0,44,1,47,56,51,14.1,-0.18
2025-02-02,486,97,124,265,92.2,2025-02-01 23:45:00,2025-02-02 08:13:00,93.1,41,0,46,57,50,14.0,-0.25
2025-02-03,441,87,106,248,89.5,2025-02-02 22:43:00,2025-02-03 07:16:00,89.3,52,2,50,51,54,14.6,-0.07
2025-02-04,429,85,103,241,88.9,2025-02-03 22:48:00,2025-02-04 07:11:00,88.5,54,2,51,49,55,14.8,-0.03
2025-02-05,464,93,115,256,91.2,2025-02-04 22:40:00,2025-02-05 07:25:00,91.3,45,1,48,55,52,14.2,-0.16
2025-02-06,451,91,107,253,90.4,2025-02-05 22:45:00,2025-02-06 07:20:00,90.2,48,1,49,52,53,14.5,-0.09
2025-02-07,387,69,81,237,85.1,2025-02-06 23:31:00,2025-02-07 06:17:00,82.2,68,3,53,45,57,14.9,0.07
2025-02-08,463,94,112,257,91.0,2025-02-07 23:47:00,2025-02-08 08:02:00,90.9,46,1,48,54,52,14.3,-0.13
2025-02-09,478,96,119,263,91.7,2025-02-08 23:51:00,2025-02-09 08:13:00,92.2,43,1,47,56,51,14.2,-0.19
2025-02-10,437,88,105,244,89.2,2025-02-09 22:45:00,2025-02-10 07:15:00,88.9,53,2,50,51,54,14.6,-0.05
2025-02-11,434,86,104,244,89.0,2025-02-10 22:49:00,2025-02-11 07:17:00,88.6,54,2,51,50,55,14.7,0
2025-02-12,457,92,111,254,90.7,2025-02-11 22:43:00,2025-02-12 07:24:00,90.6,47,1,49,53,53,14.4,-0.12
2025-02-13,442,89,106,247,89.6,2025-02-12 22:47:00,2025-02-13 07:20:00,89.5,51,2,50,51,54,14.5,-0.07
2025-02-14,448,90,108,250,90.3,2025-02-13 22:41:00,2025-02-14 07:16:00,90.1,48,1,49,52,53,14.5,-0.1
2025-02-15,471,95,116,260,91.3,2025-02-14 23:44:00,2025-02-15 08:06:00,91.4,45,1,48,55,52,14.3,-0.17
2025-02-16,483,97,120,266,92.0,2025-02-15 23:48:00,2025-02-16 08:11:00,92.7,42,0,46,56,50,14.0,-0.23
2025-02-17,439,87,106,246,89.4,2025-02-16 22:44:00,2025-02-17 07:15:00,89.2,52,2,50,51,54,14.6,-0.06
2025-02-18,432,86,102,244,88.9,2025-02-17 22:46:00,2025-02-18 07:13:00,88.7,54,2,51,50,55,14.7,-0.01
2025-02-19,458,92,112,254,90.8,2025-02-18 22:41:00,2025-02-19 07:19:00,90.7,46,1,48,53,52,14.3,-0.14
2025-02-20,446,90,107,249,90.0,2025-02-19 22:45:00,2025-02-20 07:16:00,89.8,50,1,49,52,53,14.5,-0.08
2025-02-21,454,91,110,253,90.5,2025-02-20 22:42:00,2025-02-21 07:22:00,90.4,48,1,49,53,53,14.4,-0.12
2025-02-22,468,94,115,259,91.2,2025-02-21 23:40:00,2025-02-22 08:01:00,91.4,45,1,48,55,52,14.2,-0.18
2025-02-23,481,97,118,266,91.9,2025-02-22 23:44:00,2025-02-23 08:07:00,92.5,42,0,47,56,51,14.1,-0.21
2025-02-24,445,89,108,248,89.9,2025-02-23 22:40:00,2025-02-24 07:15:00,89.7,50,1,50,52,54,14.6,-0.07
2025-02-25,437,87,104,246,89.3,2025-02-24 22:43:00,2025-02-25 07:12:00,89.1,52,2,50,51,54,14.5,-0.04
2025-02-26,460,93,112,255,90.9,2025-02-25 22:39:00,2025-02-26 07:20:00,91.0,46,1,48,54,52,14.3,-0.15
2025-02-27,450,90,109,251,90.2,2025-02-26 22:43:00,2025-02-27 07:18:00,90.0,49,1,49,52,53,14.5,-0.09
2025-02-28,456,92,110,254,90.6,2025-02-27 22:41:00,2025-02-28 07:21:00,90.5,47,1,48,53,52,14.4,-0.13
2025-03-01,472,95,116,261,91.4,2025-02-28 23:42:00,2025-03-01 08:04:00,91.6,44,1,47,55,51,14.2,-0.19
2025-03-02,482,96,119,267,91.8,2025-03-01 23:46:00,2025-03-02 08:09:00,92.4,43,0,46,56,50,14.1,-0.22
2025-03-03,440,88,106,246,89.5,2025-03-02 22:42:00,2025-03-03 07:14:00,89.3,52,2,50,51,54,14.6,-0.08
2025-03-04,433,86,104,243,89.0,2025-03-03 22:45:00,2025-03-04 07:12:00,88.8,53,2,51,50,55,14.7,-0.02
2025-03-05,459,92,113,254,90.8,2025-03-04 22:39:00,2025-03-05 07:19:00,90.7,46,1,48,54,52,14.3,-0.15
2025-03-06,448,90,107,251,90.1,2025-03-05 22:43:00,2025-03-06 07:16:00,89.9,49,1,49,52,53,14.5,-0.1
2025-03-07,398,76,87,235,86.3,2025-03-06 23:21:00,2025-03-07 06:42:00,84.7,63,3,52,47,56,14.8,0.05
2025-03-08,466,94,114,258,91.1,2025-03-07 23:45:00,2025-03-08 08:01:00,91.2,45,1,48,54,52,14.3,-0.16
2025-03-09,480,96,119,265,91.7,2025-03-08 23:49:00,2025-03-09 08:10:00,92.3,43,0,47,56,51,14.1,-0.2
2025-03-10,442,88,107,247,89.7,2025-03-09 22:41:00,2025-03-10 07:13:00,89.6,51,1,50,52,54,14.5,-0.06
2025-03-11,435,87,104,244,89.2,2025-03-10 22:44:00,2025-03-11 07:11:00,89.0,53,2,50,51,54,14.6,-0.03
2025-03-12,461,93,113,255,90.9,2025-03-11 22:37:00,2025-03-12 07:18:00,91.0,46,1,48,54,52,14.3,-0.14
2025-03-13,452,91,109,252,90.3,2025-03-12 22:41:00,2025-03-13 07:17:00,90.1,49,1,49,53,53,14.4,-0.11
2025-03-14,457,92,111,254,90.7,2025-03-13 22:39:00,2025-03-14 07:19:00,90.6,47,1,48,53,52,14.4,-0.13
2025-03-15,474,95,117,262,91.5,2025-03-14 23:41:00,2025-03-15 08:05:00,91.7,44,1,47,55,51,14.2,-0.19
2025-03-16,484,97,121,266,92.0,2025-03-15 23:45:00,2025-03-16 08:10:00,92.8,42,0,46,57,50,14.0,-0.24
2025-03-17,443,89,107,247,89.8,2025-03-16 22:40:00,2025-03-17 07:13:00,89.7,50,1,50,52,54,14.5,-0.07
2025-03-18,436,87,105,244,89.3,2025-03-17 22:43:00,2025-03-18 07:12:00,89.1,52,2,50,51,54,14.6,-0.04
2025-03-19,463,93,114,256,91.0,2025-03-18 22:36:00,2025-03-19 07:18:00,91.1,46,1,48,54,52,14.3,-0.15
2025-03-20,451,90,109,252,90.2,2025-03-19 22:40:00,2025-03-20 07:16:00,90.0,49,1,49,52,53,14.5,-0.09
2025-03-21,458,92,111,255,90.8,2025-03-20 22:38:00,2025-03-21 07:20:00,90.7,47,1,48,53,52,14.4,-0.13
2025-03-22,476,96,118,262,91.5,2025-03-21 23:40:00,2025-03-22 08:06:00,91.8,44,1,47,55,51,14.2,-0.2
2025-03-23,485,97,122,266,92.1,2025-03-22 23:44:00,2025-03-23 08:11:00,93.0,42,0,46,57,50,14.0,-0.25
2025-03-24,444,89,108,247,89.9,2025-03-23 22:39:00,2025-03-24 07:14:00,89.8,50,1,50,52,54,14.5,-0.08
2025-03-25,437,87,105,245,89.4,2025-03-24 22:42:00,2025-03-25 07:12:00,89.2,52,2,50,51,54,14.6,-0.05
2025-03-26,464,93,115,256,91.1,2025-03-25 22:35:00,2025-03-26 07:18:00,91.2,45,1,48,54,52,14.3,-0.16
2025-03-27,453,91,110,252,90.4,2025-03-26 22:39:00,2025-03-27 07:17:00,90.2,48,1,49,53,53,14.4,-0.1
2025-03-28,391,73,84,234,85.7,2025-03-27 23:24:00,2025-03-28 06:37:00,83.6,65,3,52,46,56,14.9,0.06
2025-03-29,468,94,115,259,91.2,2025-03-28 23:42:00,2025-03-29 08:02:00,91.3,45,1,48,55,52,14.2,-0.17
2025-03-30,479,96,119,264,91.6,2025-03-29 23:47:00,2025-03-30 08:09:00,92.1,44,0,46,56,50,14.1,-0.21
2025-03-31,441,88,107,246,89.6,2025-03-30 22:40:00,2025-03-31 07:12:00,89.4,51,1,50,52,54,14.5,-0.06
2025-04-01,436,87,104,245,89.2,2025-03-31 22:43:00,2025-04-01 07:12:00,89.0,53,2,50,51,54,14.6,-0.03
2025-04-02,462,93,114,255,91.0,2025-04-01 22:36:00,2025-04-02 07:18:00,91.1,46,1,48,54,52,14.3,-0.15
2025-04-03,451,90,108,253,90.2,2025-04-02 22:40:00,2025-04-03 07:16:00,90.0,49,1,49,52,53,14.5,-0.1
2025-04-04,459,92,112,255,90.8,2025-04-03 22:37:00,2025-04-04 07:20:00,90.7,47,1,48,53,52,14.4,-0.13
2025-04-05,475,95,117,263,91.4,2025-04-04 23:41:00,2025-04-05 08:05:00,91.6,44,1,47,55,51,14.2,-0.19
2025-04-06,486,98,121,267,92.2,2025-04-05 23:44:00,2025-04-06 08:12:00,93.1,41,0,46,57,50,14.0,-0.24
2025-04-07,442,89,107,246,89.7,2025-04-06 22:40:00,2025-04-07 07:13:00,89.5,51,1,50,52,54,14.5,-0.07
2025-04-08,435,87,104,244,89.1,2025-04-07 22:43:00,2025-04-08 07:11:00,88.9,53,2,50,51,54,14.6,-0.04
