date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-01-15,313,30,34,249,68.9,2025-01-15 00:51:00,2025-01-15 08:24:00,66.4,141,6,70,25,74,16.6,0.46
2025-01-16,329,35,40,254,71.1,2025-01-16 00:32:00,2025-01-16 08:14:00,69.8,134,5,68,28,72,16.3,0.35
2025-01-17,362,42,49,271,75.8,2025-01-16 00:03:00,2025-01-17 08:00:00,76.1,116,4,65,32,69,16.1,0.23
2025-01-18,377,46,58,273,77.6,2025-01-17 23:51:00,2025-01-18 08:35:00,78.2,109,3,64,33,68,16.0,0.17
2025-01-19,385,48,62,275,78.7,2025-01-18 23:46:00,2025-01-19 08:41:00,79.6,104,3,62,35,66,15.9,0.12
2025-01-20,335,35,40,260,71.9,2025-01-20 00:25:00,2025-01-20 08:11:00,70.5,131,5,68,28,72,16.3,0.33
2025-01-21,320,32,36,252,69.9,2025-01-21 00:42:00,2025-01-21 08:19:00,68.2,138,5,69,26,73,16.5,0.43
2025-01-22,312,30,33,249,68.7,2025-01-22 00:52:00,2025-01-22 08:25:00,66.1,142,6,70,24,74,16.7,0.47
2025-01-23,327,34,40,253,70.8,2025-01-23 00:33:00,2025-01-23 08:14:00,69.5,135,5,68,27,72,16.4,0.36
2025-01-24,360,41,49,270,75.5,2025-01-23 00:05:00,2025-01-24 08:01:00,75.7,117,4,66,31,70,16.2,0.24
2025-01-25,376,46,57,273,77.4,2025-01-24 23:53:00,2025-01-25 08:39:00,78.0,110,3,64,33,68,16.0,0.18
2025-01-26,384,47,61,276,78.5,2025-01-25 23:47:00,2025-01-26 08:40:00,79.4,105,3,62,35,66,15.9,0.14
2025-01-27,336,36,41,259,72.0,2025-01-27 00:24:00,2025-01-27 08:10:00,70.7,130,5,68,28,72,16.3,0.32
2025-01-28,321,32,37,252,70.0,2025-01-28 00:40:00,2025-01-28 08:18:00,68.4,138,5,69,26,73,16.5,0.42
2025-01-29,311,29,33,249,68.8,2025-01-29 00:52:00,2025-01-29 08:25:00,66.2,141,6,70,24,74,16.7,0.47
2025-01-30,328,35,40,253,70.9,2025-01-29 00:32:00,2025-01-30 08:13:00,69.6,135,5,68,27,72,16.4,0.36
2025-01-31,361,41,49,271,75.6,2025-01-30 00:04:00,2025-01-31 08:02:00,75.9,117,4,65,31,69,16.2,0.23
2025-02-01,375,46,58,271,77.3,2025-01-31 23:54:00,2025-02-01 08:38:00,77.8,110,3,64,33,68,16.0,0.19
2025-02-02,383,47,60,276,78.4,2025-02-01 23:48:00,2025-02-02 08:40:00,79.3,106,3,62,35,66,15.9,0.14
2025-02-03,336,36,41,259,72.1,2025-02-03 00:25:00,2025-02-03 08:11:00,70.8,130,5,67,29,71,16.3,0.33
2025-02-04,323,33,38,252,70.2,2025-02-04 00:38:00,2025-02-04 08:17:00,68.7,137,5,69,26,73,16.5,0.41
2025-02-05,314,30,35,249,69.0,2025-02-05 00:50:00,2025-02-05 08:23:00,66.6,141,6,70,25,74,16.6,0.46
2025-02-06,330,35,41,254,71.3,2025-02-06 00:31:00,2025-02-06 08:13:00,70.0,133,5,68,28,72,16.3,0.34
2025-02-07,363,42,50,271,75.9,2025-02-06 00:02:00,2025-02-07 08:00:00,76.3,116,4,65,32,69,16.1,0.22
2025-02-08,379,46,59,274,77.8,2025-02-07 23:50:00,2025-02-08 08:35:00,78.4,108,3,63,34,67,16.0,0.16
2025-02-09,386,48,62,276,78.9,2025-02-08 23:45:00,2025-02-09 08:42:00,79.8,103,2,61,36,65,15.8,0.11
2025-02-10,338,36,42,260,72.3,2025-02-10 00:22:00,2025-02-10 08:10:00,71.0,129,5,67,29,71,16.3,0.31
2025-02-11,325,33,38,254,70.4,2025-02-11 00:36:00,2025-02-11 08:16:00,68.9,136,5,69,27,73,16.4,0.40
2025-02-12,315,30,35,250,69.2,2025-02-12 00:49:00,2025-02-12 08:23:00,66.8,140,6,70,25,74,16.6,0.45
2025-02-13,331,35,41,255,71.4,2025-02-13 00:30:00,2025-02-13 08:12:00,70.2,133,5,68,28,72,16.3,0.34
2025-02-14,364,42,51,271,76.1,2025-02-13 00:01:00,2025-02-14 07:59:00,76.5,115,4,65,32,69,16.1,0.21
2025-02-15,380,47,59,274,77.9,2025-02-14 23:49:00,2025-02-15 08:36:00,78.6,108,3,63,34,67,16.0,0.15
2025-02-16,387,48,63,276,79.1,2025-02-15 23:44:00,2025-02-16 08:43:00,80.0,102,2,61,36,65,15.8,0.10
2025-02-17,339,36,42,261,72.5,2025-02-17 00:21:00,2025-02-17 08:09:00,71.1,129,5,67,29,71,16.3,0.30
2025-02-18,326,34,39,253,70.6,2025-02-18 00:35:00,2025-02-18 08:16:00,69.1,136,5,68,27,72,16.4,0.39
2025-02-19,315,30,35,250,69.1,2025-02-19 00:48:00,2025-02-19 08:22:00,66.7,141,6,70,25,74,16.6,0.45
2025-02-20,333,36,42,255,71.6,2025-02-20 00:29:00,2025-02-20 08:12:00,70.4,132,5,68,28,72,16.3,0.33
2025-02-21,365,43,51,271,76.3,2025-02-20 00:00:00,2025-02-21 07:59:00,76.7,114,4,65,32,69,16.1,0.20
2025-02-22,381,47,60,274,78.1,2025-02-21 23:48:00,2025-02-22 08:37:00,78.8,107,3,63,34,67,15.9,0.14
2025-02-23,388,49,63,276,79.2,2025-02-22 23:43:00,2025-02-23 08:44:00,80.2,102,2,61,36,65,15.8,0.09
2025-02-24,340,37,43,260,72.7,2025-02-24 00:20:00,2025-02-24 08:09:00,71.3,128,5,67,29,71,16.3,0.29
2025-02-25,328,34,39,255,70.8,2025-02-25 00:34:00,2025-02-25 08:16:00,69.3,135,5,68,27,72,16.4,0.38
2025-02-26,316,30,36,250,69.3,2025-02-26 00:46:00,2025-02-26 08:21:00,66.9,140,6,70,25,74,16.6,0.44
2025-02-27,334,36,42,256,71.8,2025-02-27 00:28:00,2025-02-27 08:13:00,70.6,131,5,67,28,71,16.3,0.32
2025-02-28,366,43,52,271,76.5,2025-02-27 23:59:00,2025-02-28 07:58:00,76.9,113,4,64,32,68,16.1,0.19
2025-03-01,382,47,60,275,78.3,2025-02-28 23:47:00,2025-03-01 08:38:00,79.0,106,3,63,34,67,15.9,0.13
2025-03-02,390,49,64,277,79.4,2025-03-01 23:42:00,2025-03-02 08:45:00,80.4,101,2,60,37,64,15.7,0.08
2025-03-03,341,37,43,261,72.9,2025-03-03 00:19:00,2025-03-03 08:08:00,71.5,127,4,67,30,71,16.3,0.28
2025-03-04,329,34,40,255,71.0,2025-03-04 00:33:00,2025-03-04 08:16:00,69.5,134,5,68,27,72,16.4,0.37
2025-03-05,318,31,36,251,69.5,2025-03-05 00:45:00,2025-03-05 08:20:00,67.1,139,5,69,26,73,16.5,0.43
2025-03-06,335,36,43,256,72.0,2025-03-06 00:27:00,2025-03-06 08:12:00,70.8,130,5,67,29,71,16.3,0.31
2025-03-07,367,43,52,272,76.7,2025-03-06 23:58:00,2025-03-07 07:58:00,77.1,112,4,64,33,68,16.0,0.18
2025-03-08,383,48,61,274,78.5,2025-03-07 23:46:00,2025-03-08 08:38:00,79.2,105,3,62,35,66,15.9,0.12
2025-03-09,391,50,64,277,79.6,2025-03-08 23:41:00,2025-03-09 08:45:00,80.6,100,2,60,37,64,15.7,0.07
2025-03-10,343,37,44,262,73.1,2025-03-10 00:18:00,2025-03-10 08:07:00,71.7,126,4,67,30,71,16.2,0.27
2025-03-11,330,35,40,255,71.1,2025-03-11 00:32:00,2025-03-11 08:16:00,69.7,134,5,68,27,72,16.4,0.36
2025-03-12,320,31,37,252,69.8,2025-03-12 00:44:00,2025-03-12 08:20:00,67.4,138,5,69,26,73,16.5,0.41
2025-03-13,336,36,43,257,72.1,2025-03-13 00:26:00,2025-03-13 08:12:00,71.0,130,5,67,29,71,16.3,0.30
2025-03-14,369,44,53,272,76.9,2025-03-13 23:57:00,2025-03-14 07:58:00,77.3,111,3,64,33,68,16.0,0.17
2025-03-15,384,48,61,275,78.7,2025-03-14 23:46:00,2025-03-15 08:39:00,79.4,104,3,62,35,66,15.8,0.11
2025-03-16,392,50,65,277,79.8,2025-03-15 23:40:00,2025-03-16 08:46:00,80.8,99,2,60,37,64,15.7,0.06
2025-03-17,344,38,44,262,73.3,2025-03-17 00:17:00,2025-03-17 08:07:00,71.8,125,4,66,30,70,16.2,0.26
2025-03-18,331,35,41,255,71.3,2025-03-18 00:31:00,2025-03-18 08:15:00,69.9,133,5,68,28,72,16.4,0.35
2025-03-19,321,32,37,252,70.0,2025-03-19 00:43:00,2025-03-19 08:20:00,67.6,138,5,69,26,73,16.5,0.40
2025-03-20,338,37,43,258,72.3,2025-03-20 00:25:00,2025-03-20 08:12:00,71.2,129,4,67,29,71,16.3,0.29
2025-03-21,370,44,53,273,77.1,2025-03-20 23:56:00,2025-03-21 07:58:00,77.5,110,3,63,33,67,16.0,0.16
2025-03-22,385,48,62,275,78.9,2025-03-21 23:45:00,2025-03-22 08:39:00,79.6,103,2,62,35,66,15.8,0.10
2025-03-23,394,50,65,279,80.0,2025-03-22 23:39:00,2025-03-23 08:47:00,81.0,98,2,59,38,63,15.7,0.05
2025-03-24,345,38,45,262,73.4,2025-03-24 00:16:00,2025-03-24 08:06:00,72.0,125,4,66,30,70,16.2,0.25
2025-03-25,332,35,41,256,71.5,2025-03-25 00:30:00,2025-03-25 08:15:00,70.1,133,5,68,28,72,16.3,0.34
2025-03-26,322,32,38,252,70.2,2025-03-26 00:42:00,2025-03-26 08:19:00,67.8,137,5,69,26,73,16.5,0.39
2025-03-27,339,37,44,258,72.5,2025-03-27 00:24:00,2025-03-27 08:11:00,71.4,129,4,67,30,71,16.2,0.28
2025-03-28,371,44,54,273,77.3,2025-03-27 23:55:00,2025-03-28 07:58:00,77.7,109,3,63,34,67,16.0,0.15
2025-03-29,386,49,62,275,79.1,2025-03-28 23:44:00,2025-03-29 08:40:00,79.8,102,2,61,36,65,15.8,0.09
2025-03-30,395,51,66,278,80.2,2025-03-29 23:38:00,2025-03-30 08:47:00,81.2,97,2,59,38,63,15.6,0.04
2025-03-31,347,38,45,264,73.6,2025-03-31 00:15:00,2025-03-31 08:06:00,72.2,124,4,66,30,70,16.2,0.24
2025-04-01,333,36,42,255,71.7,2025-04-01 00:29:00,2025-04-01 08:14:00,70.3,132,5,67,28,71,16.3,0.33
2025-04-02,324,32,39,253,70.4,2025-04-02 00:41:00,2025-04-02 08:19:00,68.0,136,5,69,27,73,16.4,0.38
2025-04-03,340,37,44,259,72.7,2025-04-03 00:23:00,2025-04-03 08:10:00,71.6,128,4,66,30,70,16.2,0.27
2025-04-04,372,45,54,273,77.5,2025-04-03 23:54:00,2025-04-04 07:58:00,77.9,108,3,63,34,67,15.9,0.14
2025-04-05,388,49,63,276,79.3,2025-04-04 23:43:00,2025-04-05 08:41:00,80.0,101,2,61,36,65,15.8,0.08
2025-04-06,396,51,66,279,80.4,2025-04-05 23:37:00,2025-04-06 08:48:00,81.4,96,2,59,38,63,15.6,0.03
2025-04-07,348,39,46,263,73.8,2025-04-07 00:14:00,2025-04-07 08:05:00,72.4,124,4,66,31,70,16.2,0.23
2025-04-08,334,36,42,256,71.9,2025-04-08 00:28:00,2025-04-08 08:14:00,70.5,131,5,67,28,71,16.3,0.32
